leg,journee,date,match,win_type,score,available,winner
Second Leg,,9 mai 2025,Switzerland - Czechia,Extra Time,4 - 5,no,Czechia
Second Leg,,9 mai 2025,Denmark - USA,Regular Time,0 - 5,no,USA
Second Leg,,10 mai 2025,Norway - Kazakhstan,Regular Time,1 - 2,no,Kazakhstan
Second Leg,,10 mai 2025,Germany - Hungary,Regular Time,6 - 1,no,Germany
Second Leg,,10 mai 2025,Denmark - Switzerland,Regular Time,2 - 5,no,Switzerland
Second Leg,,11 mai 2025,USA - Hungary,Regular Time,6 - 0,no,USA
Second Leg,,11 mai 2025,Germany - Kazakhstan,Regular Time,4 - 1,no,Germany
Second Leg,,11 mai 2025,Norway - Czechia,Regular Time,1 - 2,no,Czechia
Second Leg,,12 mai 2025,USA - Switzerland,Regular Time,0 - 3,no,Switzerland
Second Leg,,12 mai 2025,Czechia - Denmark,Regular Time,7 - 2,no,Czechia
Second Leg,,13 mai 2025,Norway - Germany,Regular Time,2 - 5,no,Germany
Second Leg,,13 mai 2025,Kazakhstan - Hungary,Regular Time,2 - 4,no,Hungary
Second Leg,,14 mai 2025,USA - Norway,Extra Time,6 - 5,no,USA
Second Leg,,14 mai 2025,Kazakhstan - Denmark,Regular Time,1 - 5,no,Denmark
Second Leg,,15 mai 2025,Switzerland - Germany,Regular Time,5 - 1,no,Switzerland
Second Leg,,15 mai 2025,Czechia - Hungary,Regular Time,6 - 1,no,Czechia
Second Leg,,16 mai 2025,Hungary - Denmark,Regular Time,2 - 8,no,Denmark
Second Leg,,16 mai 2025,Switzerland - Norway,Regular Time,3 - 0,no,Switzerland
Second Leg,,17 mai 2025,USA - Germany,Regular Time,6 - 3,no,USA
Second Leg,,17 mai 2025,Czechia - Kazakhstan,Regular Time,8 - 1,no,Czechia
Second Leg,,17 mai 2025,Denmark - Norway,Regular Time,6 - 3,no,Denmark
Second Leg,,18 mai 2025,Kazakhstan - USA,Regular Time,1 - 6,no,USA
Second Leg,,18 mai 2025,Hungary - Switzerland,Regular Time,0 - 10,no,Switzerland
Second Leg,,19 mai 2025,Germany - Czechia,Regular Time,0 - 5,no,Czechia
Second Leg,,19 mai 2025,Hungary - Norway,Regular Time,0 - 1,no,Norway
Second Leg,,20 mai 2025,Switzerland - Kazakhstan,Regular Time,4 - 1,no,Switzerland
Second Leg,,20 mai 2025,Czechia - USA,Regular Time,2 - 5,no,USA
Second Leg,,20 mai 2025,Germany - Denmark,Extra Time,1 - 2,no,Denmark
