leg,journee,date,match,win_type,score,available,winner
Second Leg,,9 mai 2025,Autriche - Finlande,Regular Time,No Score,yes,
Second Leg,,9 mai 2025,Suède - Slovaquie,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,Slovénie - Canada,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,Suède - Autriche,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,France - Lettonie,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Slovaquie - Slovénie,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Lettonie - Canada,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Finlande - France,Regular Time,No Score,yes,
Second Leg,,12 mai 2025,Autriche - Slovaquie,Regular Time,No Score,yes,
Second Leg,,12 mai 2025,Finlande - Suède,Regular Time,No Score,yes,
Second Leg,,13 mai 2025,Slovénie - Lettonie,Regular Time,No Score,yes,
Second Leg,,13 mai 2025,Canada - France,Regular Time,No Score,yes,
Second Leg,,14 mai 2025,Slovaquie - France,Regular Time,No Score,yes,
Second Leg,,14 mai 2025,Lettonie - Suède,Regular Time,No Score,yes,
Second Leg,,15 mai 2025,Finlande - Slovénie,Regular Time,No Score,yes,
Second Leg,,15 mai 2025,Canada - Autriche,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Autriche - France,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Suède - Slovénie,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Finlande - Lettonie,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,France - Suède,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Canada - Slovaquie,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovénie - Autriche,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovaquie - Lettonie,Regular Time,No Score,yes,
Second Leg,,19 mai 2025,France - Slovénie,Regular Time,No Score,yes,
Second Leg,,19 mai 2025,Canada - Finlande,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Lettonie - Autriche,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Slovaquie - Finlande,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Suède - Canada,Regular Time,No Score,yes,
Second Leg,,9 mai 2025,Autriche - Finlande,Regular Time,No Score,yes,
Second Leg,,9 mai 2025,Suède - Slovaquie,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,Slovénie - Canada,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,Suède - Autriche,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,France - Lettonie,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Slovaquie - Slovénie,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Lettonie - Canada,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Finlande - France,Regular Time,No Score,yes,
Second Leg,,12 mai 2025,Autriche - Slovaquie,Regular Time,No Score,yes,
Second Leg,,12 mai 2025,Finlande - Suède,Regular Time,No Score,yes,
Second Leg,,13 mai 2025,Slovénie - Lettonie,Regular Time,No Score,yes,
Second Leg,,13 mai 2025,Canada - France,Regular Time,No Score,yes,
Second Leg,,14 mai 2025,Slovaquie - France,Regular Time,No Score,yes,
Second Leg,,14 mai 2025,Lettonie - Suède,Regular Time,No Score,yes,
Second Leg,,15 mai 2025,Finlande - Slovénie,Regular Time,No Score,yes,
Second Leg,,15 mai 2025,Canada - Autriche,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Autriche - France,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Suède - Slovénie,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Finlande - Lettonie,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,France - Suède,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Canada - Slovaquie,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovénie - Autriche,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovaquie - Lettonie,Regular Time,No Score,yes,
Second Leg,,19 mai 2025,France - Slovénie,Regular Time,No Score,yes,
Second Leg,,19 mai 2025,Canada - Finlande,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Lettonie - Autriche,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Slovaquie - Finlande,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Suède - Canada,Regular Time,No Score,yes,
Second Leg,,9 mai 2025,Autriche - Finlande,Regular Time,No Score,yes,
Second Leg,,9 mai 2025,Suède - Slovaquie,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,Slovénie - Canada,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,Suède - Autriche,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,France - Lettonie,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Slovaquie - Slovénie,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Lettonie - Canada,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Finlande - France,Regular Time,No Score,yes,
Second Leg,,12 mai 2025,Autriche - Slovaquie,Regular Time,No Score,yes,
Second Leg,,12 mai 2025,Finlande - Suède,Regular Time,No Score,yes,
Second Leg,,13 mai 2025,Slovénie - Lettonie,Regular Time,No Score,yes,
Second Leg,,13 mai 2025,Canada - France,Regular Time,No Score,yes,
Second Leg,,14 mai 2025,Slovaquie - France,Regular Time,No Score,yes,
Second Leg,,14 mai 2025,Lettonie - Suède,Regular Time,No Score,yes,
Second Leg,,15 mai 2025,Finlande - Slovénie,Regular Time,No Score,yes,
Second Leg,,15 mai 2025,Canada - Autriche,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Autriche - France,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Suède - Slovénie,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Finlande - Lettonie,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,France - Suède,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Canada - Slovaquie,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovénie - Autriche,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovaquie - Lettonie,Regular Time,No Score,yes,
Second Leg,,19 mai 2025,France - Slovénie,Regular Time,No Score,yes,
Second Leg,,19 mai 2025,Canada - Finlande,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Lettonie - Autriche,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Slovaquie - Finlande,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Suède - Canada,Regular Time,No Score,yes,
Second Leg,,9 mai 2025,Autriche - Finlande,Regular Time,No Score,yes,
Second Leg,,9 mai 2025,Suède - Slovaquie,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,Slovénie - Canada,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,Suède - Autriche,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,France - Lettonie,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Slovaquie - Slovénie,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Lettonie - Canada,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Finlande - France,Regular Time,No Score,yes,
Second Leg,,12 mai 2025,Autriche - Slovaquie,Regular Time,No Score,yes,
Second Leg,,12 mai 2025,Finlande - Suède,Regular Time,No Score,yes,
Second Leg,,13 mai 2025,Slovénie - Lettonie,Regular Time,No Score,yes,
Second Leg,,13 mai 2025,Canada - France,Regular Time,No Score,yes,
Second Leg,,14 mai 2025,Slovaquie - France,Regular Time,No Score,yes,
Second Leg,,14 mai 2025,Lettonie - Suède,Regular Time,No Score,yes,
Second Leg,,15 mai 2025,Finlande - Slovénie,Regular Time,No Score,yes,
Second Leg,,15 mai 2025,Canada - Autriche,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Autriche - France,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Suède - Slovénie,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Finlande - Lettonie,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,France - Suède,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Canada - Slovaquie,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovénie - Autriche,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovaquie - Lettonie,Regular Time,No Score,yes,
Second Leg,,19 mai 2025,France - Slovénie,Regular Time,No Score,yes,
Second Leg,,19 mai 2025,Canada - Finlande,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Lettonie - Autriche,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Slovaquie - Finlande,Regular Time,No Score,yes,
Second Leg,,20 mai 2025,Suède - Canada,Regular Time,No Score,yes,
Second Leg,,9 mai 2025,Autriche - Finlande,Regular Time,No Score,yes,
Second Leg,,9 mai 2025,Suède - Slovaquie,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,Slovénie - Canada,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,Suède - Autriche,Regular Time,No Score,yes,
Second Leg,,10 mai 2025,France - Lettonie,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Slovaquie - Slovénie,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Lettonie - Canada,Regular Time,No Score,yes,
Second Leg,,11 mai 2025,Finlande - France,Regular Time,No Score,yes,
Second Leg,,12 mai 2025,Autriche - Slovaquie,Regular Time,No Score,yes,
Second Leg,,12 mai 2025,Finlande - Suède,Regular Time,No Score,yes,
Second Leg,,13 mai 2025,Slovénie - Lettonie,Regular Time,No Score,yes,
Second Leg,,13 mai 2025,Canada - France,Regular Time,No Score,yes,
Second Leg,,14 mai 2025,Slovaquie - France,Regular Time,No Score,yes,
Second Leg,,14 mai 2025,Lettonie - Suède,Regular Time,No Score,yes,
Second Leg,,15 mai 2025,Finlande - Slovénie,Regular Time,No Score,yes,
Second Leg,,15 mai 2025,Canada - Autriche,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Autriche - France,Regular Time,No Score,yes,
Second Leg,,16 mai 2025,Suède - Slovénie,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Finlande - Lettonie,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,France - Suède,Regular Time,No Score,yes,
Second Leg,,17 mai 2025,Canada - Slovaquie,Regular Time,No Score,yes,
Second Leg,,18 mai 2025,Slovénie - Autriche,Regular Time,No Score,yes,
