leg,journee,date,hour,match,win_type,score,available,winner
First Leg,4,13 août 2025,16:30,NICE - CHAMONIX,Regular Time,No Score,yes,
First Leg,1,12 septembre 2025,18:00,NICE - CHAMONIX,Regular Time,No Score,yes,
First Leg,1,12 septembre 2025,18:00,BRIANCON - ANGERS,Regular Time,No Score,yes,
First Leg,1,12 septembre 2025,18:00,GRENOBLE - BORDEAUX,Regular Time,No Score,yes,
First Leg,1,12 septembre 2025,18:00,MARSEILLE - ANGLET,Regular Time,No Score,yes,
First Leg,1,12 septembre 2025,18:00,CERGY - AMIENS,Regular Time,No Score,yes,
First Leg,1,12 septembre 2025,18:00,ROUEN - GAP,Regular Time,No Score,yes,
First Leg,2,16 septembre 2025,18:00,CHAMONIX - BRIANCON,Regular Time,No Score,yes,
First Leg,2,16 septembre 2025,18:00,BORDEAUX - ROUEN,Regular Time,No Score,yes,
First Leg,2,16 septembre 2025,18:00,AMIENS - NICE,Regular Time,No Score,yes,
First Leg,2,16 septembre 2025,18:00,ANGLET - CERGY,Regular Time,No Score,yes,
First Leg,2,16 septembre 2025,18:00,GAP - MARSEILLE,Regular Time,No Score,yes,
First Leg,2,16 septembre 2025,18:00,ANGERS - GRENOBLE,Regular Time,No Score,yes,











