leg,journee,date,match,win_type,score,available,winner
First Leg,1,12 septembre 2025,ROUEN - GAP,Regular Time,4-1,no,ROUEN
First Leg,1,12 septembre 2025,NICE - CHAMONIX,Regular Time,3-1,no,NICE
First Leg,1,12 septembre 2025,BRIANCON - ANGERS,Regular Time,2-3,no,ANGERS
First Leg,1,12 septembre 2025,MARSEILLE - ANGLET,Regular Time,3-2,no,MARSEILLE
First Leg,1,12 septembre 2025,GRENOBLE - BORDEAUX,Regular Time,6-2,no,GRENOBLE
First Leg,1,13 septembre 2025,CERGY - AMIENS,,,yes,
First Leg,2,16 septembre 2025,GAP - MARSEILLE,,,yes,
First Leg,2,16 septembre 2025,BORDEAUX - ROUEN,,,yes,
First Leg,2,16 septembre 2025,ANGERS - GRENOBLE,,,yes,
First Leg,2,16 septembre 2025,CHAMONIX - BRIANCON,,,yes,
First Leg,2,16 septembre 2025,ANGLET - CERGY,,,yes,
First Leg,3,19 septembre 2025,NICE - ANGLET,,,yes,
First Leg,3,19 septembre 2025,BRIANCON - AMIENS,,,yes,
First Leg,3,19 septembre 2025,GRENOBLE - CHAMONIX,,,yes,
First Leg,3,19 septembre 2025,ROUEN - MARSEILLE,,,yes,
First Leg,3,19 septembre 2025,BORDEAUX - ANGERS,,,yes,
First Leg,3,19 septembre 2025,CERGY - GAP,,,yes,
First Leg,4,23 septembre 2025,CHAMONIX - BORDEAUX,,,yes,
First Leg,4,23 septembre 2025,AMIENS - GRENOBLE,,,yes,
First Leg,4,23 septembre 2025,MARSEILLE - CERGY,,,yes,
First Leg,4,23 septembre 2025,ANGERS - ROUEN,,,yes,
First Leg,4,23 septembre 2025,ANGLET - BRIANCON,,,yes,
First Leg,5,26 septembre 2025,BRIANCON - GAP,,,yes,
First Leg,5,26 septembre 2025,GRENOBLE - ANGLET,,,yes,
First Leg,5,26 septembre 2025,ANGERS - CHAMONIX,,,yes,
First Leg,5,26 septembre 2025,ROUEN - CERGY,,,yes,
First Leg,5,26 septembre 2025,NICE - MARSEILLE,,,yes,
First Leg,5,26 septembre 2025,BORDEAUX - AMIENS,,,yes,
First Leg,4,28 septembre 2025,GAP - NICE,,,yes,
First Leg,6,30 septembre 2025,GAP - GRENOBLE,,,yes,
First Leg,6,30 septembre 2025,CHAMONIX - ROUEN,,,yes,
First Leg,6,30 septembre 2025,AMIENS - ANGERS,,,yes,
First Leg,6,30 septembre 2025,MARSEILLE - BRIANCON,,,yes,
First Leg,6,30 septembre 2025,ANGLET - BORDEAUX,,,yes,
First Leg,6,30 septembre 2025,CERGY - NICE,,,yes,
First Leg,7,3 octobre 2025,ROUEN - NICE,,,yes,
First Leg,7,3 octobre 2025,BRIANCON - CERGY,,,yes,
First Leg,7,3 octobre 2025,CHAMONIX - AMIENS,,,yes,
First Leg,7,3 octobre 2025,GRENOBLE - MARSEILLE,,,yes,
First Leg,7,3 octobre 2025,BORDEAUX - GAP,,,yes,
First Leg,7,3 octobre 2025,ANGERS - ANGLET,,,yes,
First Leg,10,5 octobre 2025,CERGY - ANGERS,,,yes,
First Leg,2,5 octobre 2025,AMIENS - NICE,,,yes,
First Leg,8,10 octobre 2025,GAP - ANGERS,,,yes,
First Leg,8,10 octobre 2025,NICE - BRIANCON,,,yes,
First Leg,8,10 octobre 2025,AMIENS - ROUEN,,,yes,
First Leg,8,10 octobre 2025,MARSEILLE - BORDEAUX,,,yes,
First Leg,8,10 octobre 2025,ANGLET - CHAMONIX,,,yes,
First Leg,8,10 octobre 2025,CERGY - GRENOBLE,,,yes,
First Leg,9,12 octobre 2025,GRENOBLE - NICE,,,yes,
First Leg,9,12 octobre 2025,ROUEN - BRIANCON,,,yes,
First Leg,9,12 octobre 2025,AMIENS - ANGLET,,,yes,
First Leg,9,12 octobre 2025,CHAMONIX - GAP,,,yes,
First Leg,9,13 octobre 2025,BORDEAUX - CERGY,,,yes,
First Leg,10,17 octobre 2025,GAP - AMIENS,,,yes,
First Leg,10,17 octobre 2025,BRIANCON - GRENOBLE,,,yes,
First Leg,10,17 octobre 2025,NICE - BORDEAUX,,,yes,
First Leg,10,17 octobre 2025,MARSEILLE - CHAMONIX,,,yes,
First Leg,10,17 octobre 2025,ANGLET - ROUEN,,,yes,
Second Leg,24,19 octobre 2025,BORDEAUX - NICE,,,yes,
First Leg,11,24 octobre 2025,ROUEN - GRENOBLE,,,yes,
First Leg,11,24 octobre 2025,ANGERS - NICE,,,yes,
First Leg,11,24 octobre 2025,BORDEAUX - BRIANCON,,,yes,
First Leg,11,24 octobre 2025,AMIENS - MARSEILLE,,,yes,
First Leg,11,24 octobre 2025,ANGLET - GAP,,,yes,
First Leg,12,26 octobre 2025,GAP - ANGLET,,,yes,
First Leg,12,26 octobre 2025,CERGY - CHAMONIX,,,yes,
First Leg,14,26 octobre 2025,NICE - GRENOBLE,,,yes,
First Leg,12,26 octobre 2025,MARSEILLE - AMIENS,,,yes,
First Leg,12,26 octobre 2025,BRIANCON - BORDEAUX,,,yes,
First Leg,13,28 octobre 2025,ROUEN - ANGLET,,,yes,
First Leg,13,28 octobre 2025,GRENOBLE - BRIANCON,,,yes,
First Leg,13,28 octobre 2025,ANGERS - CERGY,,,yes,
First Leg,13,28 octobre 2025,CHAMONIX - MARSEILLE,,,yes,
First Leg,13,28 octobre 2025,AMIENS - GAP,,,yes,
First Leg,13,28 octobre 2025,BORDEAUX - NICE,,,yes,
First Leg,12,30 octobre 2025,GRENOBLE - ROUEN,,,yes,
First Leg,12,30 octobre 2025,NICE - ANGERS,,,yes,
First Leg,14,31 octobre 2025,BRIANCON - ROUEN,,,yes,
First Leg,14,31 octobre 2025,GAP - CHAMONIX,,,yes,
First Leg,14,31 octobre 2025,MARSEILLE - ANGERS,,,yes,
First Leg,14,31 octobre 2025,CERGY - BORDEAUX,,,yes,
First Leg,14,31 octobre 2025,ANGLET - AMIENS,,,yes,
First Leg,9,2 novembre 2025,ANGERS - MARSEILLE,,,yes,
First Leg,15,11 novembre 2025,ROUEN - AMIENS,,,yes,
First Leg,15,11 novembre 2025,BRIANCON - NICE,,,yes,
First Leg,15,11 novembre 2025,CHAMONIX - ANGLET,,,yes,
First Leg,15,11 novembre 2025,BORDEAUX - MARSEILLE,,,yes,
First Leg,15,11 novembre 2025,ANGERS - GAP,,,yes,
First Leg,15,12 novembre 2025,GRENOBLE - CERGY,,,yes,
