leg,journee,date,hour,match,win_type,score,available,winner
Second Leg,,19 décembre 2025,Terminé,Tampa Bay Lightning - Los Angeles Kings,Regular Time,1 - 2,no,Los Angeles Kings
Second Leg,,19 décembre 2025,Terminé,Washington Capitals - Toronto Maple Leafs,Regular Time,4 - 0,no,Washington Capitals
Second Leg,,19 décembre 2025,Terminé,Columbus Blue Jackets - Minnesota Wild,Regular Time,2 - 5,no,Minnesota Wild
Second Leg,,19 décembre 2025,Terminé,Boston Bruins - Edmonton Oilers,Regular Time,1 - 3,no,Edmonton Oilers
Second Leg,,19 décembre 2025,Terminé,Montreal Canadiens - Chicago Blackhawks,Regular Time,4 - 1,no,Montreal Canadiens
Second Leg,,19 décembre 2025,Terminé,Ottawa Senators - Pittsburgh Penguins,Regular Time,4 - 0,no,Ottawa Senators
Second Leg,,19 décembre 2025,Terminé,Buffalo Sabres - Philadelphia Flyers,Regular Time,5 - 3,no,Buffalo Sabres
Second Leg,,19 décembre 2025,Terminé,St.Louis Blues - New York Rangers,Extra Time,1 - 2,no,New York Rangers
Second Leg,,19 décembre 2025,Terminé,Calgary Flames - Seattle Kraken,Regular Time,4 - 2,no,Calgary Flames
Second Leg,,19 décembre 2025,Terminé,San Jose Sharks - Dallas Stars,Regular Time,3 - 5,no,Dallas Stars
Second Leg,,20 décembre 2025,01:00,New York Islanders - Vancouver Canucks,Regular Time,No Score,yes,
Second Leg,,20 décembre 2025,01:00,Florida Panthers - Carolina Hurricanes,Regular Time,No Score,yes,
Second Leg,,20 décembre 2025,03:00,Colorado Avalanche - Winnipeg Jets,Regular Time,No Score,yes,
Second Leg,,20 décembre 2025,03:00,Utah Mammoth - New Jersey Devils,Regular Time,No Score,yes,
Second Leg,,20 décembre 2025,04:00,Anaheim Ducks - Dallas Stars,Regular Time,No Score,yes,
Second Leg,,20 décembre 2025,18:30,New York Rangers - Philadelphia Flyers,Regular Time,No Score,yes,
Second Leg,,20 décembre 2025,18:30,Washington Capitals - Detroit Red Wings,Regular Time,No Score,yes,
Second Leg,,20 décembre 2025,21:00,Ottawa Senators - Chicago Blackhawks,Regular Time,No Score,yes,
Second Leg,,20 décembre 2025,21:00,Minnesota Wild - Edmonton Oilers,Regular Time,No Score,yes,
Second Leg,,20 décembre 2025,23:00,Buffalo Sabres - New York Islanders,Regular Time,No Score,yes,
Second Leg,,21 décembre 2025,00:00,Florida Panthers - St.Louis Blues,Regular Time,No Score,yes,
