leg,journee,date,hour,match,win_type,score,available,winner
Playoffs,,3 mai 2026,Terminé,Carolina Hurricanes - Philadelphia Flyers,Regular Time,3 - 0,no,Carolina Hurricanes
Playoffs,,5 mai 2026,Terminé,Carolina Hurricanes - Philadelphia Flyers,Extra Time,3 - 2,no,Carolina Hurricanes
Playoffs,,8 mai 2026,Terminé,Philadelphia Flyers - Carolina Hurricanes,Regular Time,1 - 4,no,Carolina Hurricanes
Playoffs,,10 mai 2026,Terminé,Philadelphia Flyers - Carolina Hurricanes,Extra Time,2 - 3,no,Carolina Hurricanes
Playoffs,,10 mai 2026,Terminé,Colorado Avalanche - Minnesota Wild,Regular Time,9 - 6,no,Colorado Avalanche
Playoffs,,4 mai 2026,Terminé,Colorado Avalanche - Minnesota Wild,Regular Time,5 - 2,no,Colorado Avalanche
Playoffs,,10 mai 2026,Terminé,Minnesota Wild - Colorado Avalanche,Regular Time,5 - 1,no,Minnesota Wild
Playoffs,,12 mai 2026,Terminé,Minnesota Wild - Colorado Avalanche,Regular Time,2 - 5,no,Colorado Avalanche
Playoffs,,6 mai 2026,Terminé,Colorado Avalanche - Minnesota Wild,Extra Time,4 - 3,no,Colorado Avalanche
Playoffs,,14 mai 2026,Terminé,Vegas Golden Knights - Anaheim Ducks,Regular Time,3 - 1,no,Vegas Golden Knights
Playoffs,,5 mai 2026,Terminé,Vegas Golden Knights - Anaheim Ducks,Regular Time,1 - 3,no,Anaheim Ducks
Playoffs,,9 mai 2026,Terminé,Anaheim Ducks - Vegas Golden Knights,Regular Time,2 - 6,no,Vegas Golden Knights
Playoffs,,11 mai 2026,Terminé,Anaheim Ducks - Vegas Golden Knights,Regular Time,4 - 3,no,Anaheim Ducks
Playoffs,,7 mai 2026,Terminé,Vegas Golden Knights - Anaheim Ducks,Extra Time,3 - 2,no,Vegas Golden Knights
Playoffs,,15 mai 2026,Terminé,Anaheim Ducks - Vegas Golden Knights,Regular Time,1 - 5,no,Vegas Golden Knights
Playoffs,,15 mai 2026,Terminé,Buffalo Sabres - Montreal Canadiens,Regular Time,4 - 2,no,Buffalo Sabres
Playoffs,,7 mai 2026,Terminé,Buffalo Sabres - Montreal Canadiens,Regular Time,1 - 5,no,Montreal Canadiens
Playoffs,,11 mai 2026,Terminé,Montreal Canadiens - Buffalo Sabres,Regular Time,6 - 2,no,Montreal Canadiens
Playoffs,,13 mai 2026,Terminé,Montreal Canadiens - Buffalo Sabres,Regular Time,2 - 3,no,Buffalo Sabres
Playoffs,,9 mai 2026,Terminé,Buffalo Sabres - Montreal Canadiens,Regular Time,3 - 6,no,Montreal Canadiens
Playoffs,,17 mai 2026,Terminé,Montreal Canadiens - Buffalo Sabres,Regular Time,3 - 8,no,Buffalo Sabres
Playoffs,,15 mai 2026,01:30,Buffalo Sabres - Montreal Canadiens,Regular Time,No Score,yes,
