rank,team,points,games_played,wins,overtime_wins,overtime_losses,losses,goals_for,goals_against
1,Lausanne,97,50,25,9,4,12,152,122
2,Zurich,88,48,21,10,5,12,144,108
3,Berne,88,50,23,3,13,11,159,134
4,Zoug,85,49,24,5,3,17,165,129
5,Davos,80,49,20,7,6,16,137,122
6,Fribourg,76,49,19,5,9,16,123,123
7,Kloten,73,49,19,7,2,21,126,141
8,Langnau,70,49,19,4,5,21,123,118
9,Ambri,70,50,11,14,9,16,141,153
10,Rapperswil,67,49,17,4,8,20,132,146
11,Bienne,67,49,17,5,6,21,120,123
12,Geneve,65,49,15,7,6,21,134,144
13,Lugano,60,49,18,1,4,26,129,155
14,Ajoie,46,49,11,4,5,29,109,176
