date,match,team1,team2,draw,team1_extra,team2_extra
2024-12-13,CHAMONIX - ROUEN,2.93,1.81,5.5,3.66,2.26
2024-12-13,GRENOBLE - BRIANCON,1.59,3.77,5.5,1.99,4.71
2024-12-13,ANGERS - BORDEAUX,2.12,2.36,5.5,2.65,2.95
2024-12-13,MARSEILLE - AMIENS,2.16,2.32,5.5,2.7,2.9
2024-12-13,GAP - CERGY,2.86,1.83,5.5,3.58,2.29
2024-12-13,ANGLET - NICE,2.35,2.13,5.5,2.93,2.67
2024-12-20,ROUEN - ANGERS,2.22,2.25,5.5,2.77,2.82
2024-12-15,GRENOBLE - CERGY,1.76,3.05,5.5,2.21,3.81
2024-12-20,BORDEAUX - MARSEILLE,1.91,2.68,5.5,2.39,3.36
2024-12-20,GRENOBLE - AMIENS,1.82,2.89,5.5,2.28,3.61
2024-12-20,CERGY - CHAMONIX,1.81,2.93,5.5,2.26,3.66
2024-12-20,BRIANCON - ANGLET,2.22,2.25,5.5,2.77,2.82
2024-12-20,NICE - GAP,1.88,2.76,5.5,2.35,3.45
2024-12-22,MARSEILLE - ROUEN,2.54,1.99,5.5,3.18,2.49
2024-12-22,GRENOBLE - ANGLET,1.61,3.67,5.5,2.01,4.59
2024-12-22,ANGERS - CERGY,1.79,2.97,5.5,2.24,3.72
2024-12-22,AMIENS - BORDEAUX,2.41,2.08,5.5,3.01,2.61
2024-12-22,CHAMONIX - NICE,2.24,2.23,5.5,2.8,2.79
2024-12-22,GAP - BRIANCON,2.1,2.39,5.5,2.62,2.99
2024-12-28,ROUEN - AMIENS,1.91,2.69,5.5,2.39,3.37
2024-12-28,BORDEAUX - GRENOBLE,2.42,2.08,5.5,3.02,2.6
2024-12-28,NICE - ANGERS,2.89,1.82,5.5,3.61,2.28
2024-12-28,CERGY - MARSEILLE,2.29,2.18,5.5,2.87,2.73
2024-12-28,ANGLET - GAP,2.15,2.33,5.5,2.68,2.92
2024-12-28,BRIANCON - CHAMONIX,2.38,2.11,5.5,2.98,2.63
2024-12-30,BORDEAUX - ROUEN,2.19,2.28,5.5,2.73,2.86
2024-12-30,GRENOBLE - GAP,1.62,3.59,5.5,2.03,4.49
2024-12-30,ANGERS - BRIANCON,1.62,3.62,5.5,2.02,4.52
2024-12-30,MARSEILLE - NICE,1.89,2.73,5.5,2.37,3.41
2024-12-30,AMIENS - CERGY,1.92,2.67,5.5,2.4,3.34
2024-12-30,CHAMONIX - ANGLET,1.9,2.72,5.5,2.37,3.4
2025-01-03,ROUEN - GRENOBLE,2.36,2.12,5.5,2.95,2.65
2025-01-03,ANGLET - ANGERS,3.15,1.73,5.5,3.94,2.17
2025-01-03,CERGY - BORDEAUX,2.71,1.9,5.5,3.39,2.38
2025-01-03,BRIANCON - MARSEILLE,2.77,1.87,5.5,3.46,2.34
2025-01-03,NICE - AMIENS,2.57,1.98,5.5,3.22,2.47
2025-01-03,GAP - CHAMONIX,2.37,2.12,5.5,2.96,2.65
2025-01-10,ROUEN - CERGY,1.77,3.03,5.5,2.21,3.78
2025-01-10,GRENOBLE - CHAMONIX,1.67,3.36,5.5,2.09,4.2
2025-01-10,ANGERS - GAP,1.63,3.54,5.5,2.04,4.42
2025-01-10,BORDEAUX - NICE,1.74,3.12,5.5,2.18,3.9
2025-01-10,MARSEILLE - ANGLET,1.71,3.24,5.5,2.13,4.05
2025-01-05,CHAMONIX - AMIENS,2.44,2.06,5.5,3.05,2.58
2025-01-10,AMIENS - BRIANCON,1.71,3.22,5.5,2.14,4.02
