date,match,team1,team2,draw,team1_extra,team2_extra
2025-12-20,Washington Capitals - Detroit Red Wings,1.89,2.72,5.5,2.37,3.41
2025-12-21,Montreal Canadiens - Pittsburgh Penguins,2.13,2.36,5.5,2.66,2.95
2025-12-21,Boston Bruins - Vancouver Canucks,1.78,2.99,5.5,2.23,3.74
2025-12-21,Tampa Bay Lightning - Carolina Hurricanes,2.37,2.11,5.5,2.97,2.64
2025-12-20,Florida Panthers - Carolina Hurricanes,2.31,2.16,5.5,2.89,2.71
2025-12-20,Ottawa Senators - Chicago Blackhawks,1.87,2.79,5.5,2.33,3.48
2025-12-21,Nashville Predators - Toronto Maple Leafs,2.55,1.99,5.5,3.18,2.49
2025-12-20,Buffalo Sabres - New York Islanders,2.51,2.01,5.5,3.14,2.52
2025-12-20,New York Rangers - Philadelphia Flyers,2.48,2.04,5.5,3.1,2.55
2025-12-20,Utah Mammoth - New Jersey Devils,2.06,2.44,5.5,2.58,3.05
2025-12-21,Anaheim Ducks - Columbus Blue Jackets,1.9,2.72,5.5,2.37,3.4
2025-12-20,Colorado Avalanche - Winnipeg Jets,1.77,3.03,5.5,2.22,3.78
2025-12-20,Anaheim Ducks - Dallas Stars,2.44,2.06,5.5,3.05,2.58
2025-12-20,Minnesota Wild - Edmonton Oilers,2.01,2.52,5.5,2.51,3.15
2025-12-21,Florida Panthers - St.Louis Blues,1.73,3.14,5.5,2.17,3.93
2025-12-21,Calgary Flames - Vegas Golden Knights,2.75,1.88,5.5,3.44,2.35
2025-12-23,Los Angeles Kings - Columbus Blue Jackets,1.96,2.6,5.5,2.45,3.25
2025-12-21,San Jose Sharks - Seattle Kraken,1.99,2.54,5.5,2.49,3.18
2025-12-22,New Jersey Devils - Buffalo Sabres,1.9,2.72,5.5,2.37,3.4
2025-12-22,Minnesota Wild - Colorado Avalanche,2.42,2.07,5.5,3.03,2.59
2025-12-22,Dallas Stars - Toronto Maple Leafs,1.83,2.87,5.5,2.29,3.58
